src_ip,dst_ip,src_port, Destination Port,protocol,timestamp, Flow Duration,flow_byts_s,flow_pkts_s,fwd_pkts_s, Bwd Packets/s,tot_fwd_pkts,tot_bwd_pkts,Total Length of Fwd Packets,totlen_bwd_pkts,fwd_pkt_len_max, Fwd Packet Length Min, Fwd Packet Length Mean,fwd_pkt_len_std,bwd_pkt_len_max, Bwd Packet Length Min,bwd_pkt_len_mean, Bwd Packet Length Std,pkt_len_max, Min Packet Length,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min, act_data_pkt_fwd, Flow IAT Mean, Flow IAT Max,flow_iat_min,flow_iat_std,Fwd IAT Total,fwd_iat_max,fwd_iat_min,fwd_iat_mean, Fwd IAT Std,Bwd IAT Total, Bwd IAT Max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt, PSH Flag Count, ACK Flag Count, URG Flag Count,ece_flag_cnt, Down/Up Ratio,pkt_size_avg,Init_Win_bytes_forward, Init_Win_bytes_backward,active_max,active_min,active_mean,active_std,idle_max, Idle Min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg, min_seg_size_forward,bwd_seg_size_avg,cwe_flag_count, Subflow Fwd Bytes,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
192.168.43.225,239.255.255.250,59963,1900,17,2021-06-01 14:42:30,3947.734832763672,126908.2198333132,759.9294600797198,759.9294600797198,0.0,3,0,501,0,167.0,167.0,167.0,0.0,0.0,0.0,0.0,0.0,167,167,167.0,0.0,0.0,24,0,8,3,1973.867416381836,1982.9273223876953,1964.8075103759766,9.059906005859375,3947.734832763672,1982.9273223876953,1964.8075103759766,1973.867416381836,9.059906005859375,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,167.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0,3,0,501,0,Benign
192.168.43.3,192.168.43.1,48967,53,17,2021-06-01 14:42:36,51083.80317687988,4521.981247170507,39.15135278935504,19.57567639467752,19.57567639467752,1,1,97,134,97.0,97.0,97.0,0.0,134.0,134.0,134.0,0.0,134,97,115.5,18.5,342.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,115.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,134.0,0,1,1,97,134,Benign
192.168.43.3,192.168.43.1,56867,53,17,2021-06-01 14:42:36,57395.219802856445,4808.762836835831,34.84610751330312,17.42305375665156,17.42305375665156,1,1,97,179,97.0,97.0,97.0,0.0,179.0,179.0,179.0,0.0,179,97,138.0,41.0,1681.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,138.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,179.0,0,1,1,97,179,Benign
192.168.43.3,192.168.43.1,50476,53,17,2021-06-01 14:42:36,2641.2010192871094,73451.4331106698,757.2312691821628,378.6156345910814,378.6156345910814,1,1,97,97,97.0,97.0,97.0,0.0,97.0,97.0,97.0,0.0,97,97,97.0,0.0,0.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,97.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,0,1,1,97,97,Benign
192.168.43.3,111.221.29.254,39888,443,6,2021-06-01 14:42:36,1035476.2077331543,7470.958716603939,19.314784686152894,11.588870811691736,7.725913874461157,12,8,3161,4575,1414.0,54.0,263.4166666666667,391.8650827205143,1414.0,54.0,571.875,586.2061150951941,1414,54,386.8,502.41930695386304,252425.16000000006,240,160,20,5,54498.747775429176,209282.39822387695,13.3514404296875,83373.47106769333,858116.626739502,265777.587890625,26.464462280273438,78010.60243086382,101780.65504056367,849498.7487792969,212543.48754882812,680.6850433349609,121356.96411132812,87776.79324441982,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,386.8,64240,2050,209108.1142425537,8390.665054321289,158117.24662780762,75600.0828999705,209255.93376159668,10974.884033203125,161324.3023554484,68297.39927491038,0.0,0.0,0.0,0.0,0.0,0.0,263.4166666666667,571.875,0,12,8,3161,4575,Benign
192.168.43.3,35.244.247.133,35484,443,6,2021-06-01 14:42:19,28508152.961730957,131.5763951819433,0.8769421166485158,0.45600990065722824,0.4209322159912876,13,12,2649,1102,550.0,66.0,203.76923076923077,151.47741839635262,154.0,66.0,91.83333333333333,38.01279024515594,550,66,150.04,125.50935582656777,15752.598400000003,260,240,20,10,1187839.7067387898,25605063.915252686,46.01478576660156,5095971.408211198,28429525.85220337,25605063.915252686,52.21366882324219,2369127.1543502808,7014129.9505808735,28379313.945770264,25693194.150924683,184.53598022460938,2579937.63143366,7315141.510568244,0,0,0,0,1,0,0,0,0,0,0,0.9230769230769231,150.04,501,340,25605011.701583862,82954.16831970215,3116242.7796257865,7955786.569868827,25604903.93638611,72545.76683044434,2163447.086627667,6769936.145423185,0.0,0.0,0.0,0.0,0.0,0.0,203.76923076923077,91.83333333333333,0,13,12,2649,1102,Benign
192.168.43.3,192.168.43.1,34580,53,17,2021-06-01 14:42:20,31026619.67277527,19.596076092475453,0.2578431064799402,0.22561271816994766,0.03223038830999252,7,1,490,118,70.0,70.0,70.0,0.0,118.0,118.0,118.0,0.0,118,70,76.0,15.874507866387544,252.0,56,8,8,7,4432374.2389678955,5250067.710876465,352877.6168823242,1668687.2994746193,30673742.055892944,5250067.710876465,5002600.66986084,5112290.342648824,112259.36198506987,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.14285714285714285,76.0,0,0,0.0,0.0,0.0,0.0,5005545.139312744,88092.32711791992,1750603.2784779866,2301769.274728825,0.0,0.0,0.0,0.0,0.0,0.0,70.0,118.0,0,7,1,490,118,Benign
192.168.43.225,224.0.0.251,5353,5353,17,2021-06-01 14:42:28,59538651.46636963,20.759623699205783,0.20154974465248332,0.20154974465248332,0.0,12,0,1236,0,103.0,103.0,103.0,0.0,0.0,0.0,0.0,0.0,103,103,103.0,0.0,0.0,96,0,8,12,5412604.678760875,20549594.402313232,39716.95899963379,7832377.36812008,59538651.46636963,20549594.402313232,39716.95899963379,5412604.678760875,7832377.36812008,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,103.0,0,0,19954209.566116333,16944.88525390625,13210498.809814453,9330022.808476616,19552592.515945435,52822.82829284668,6776649.157206218,8850235.287344,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0,12,0,1236,0,Benign
192.168.43.3,192.168.43.1,52157,53,17,2021-06-01 14:42:38,48528.432846069336,3874.017539291452,41.21295254565374,20.60647627282687,20.60647627282687,1,1,80,108,80.0,80.0,80.0,0.0,108.0,108.0,108.0,0.0,108,80,94.0,14.0,196.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,94.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,108.0,0,1,1,80,108,Benign
192.168.43.3,192.168.43.1,56293,53,17,2021-06-01 14:42:39,3914.8330688476562,49555.11425091352,510.8774665042631,255.43873325213156,255.43873325213156,1,1,97,97,97.0,97.0,97.0,0.0,97.0,97.0,97.0,0.0,97,97,97.0,0.0,0.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,97.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,0,1,1,97,97,Benign
